posicion,nombre,edad,puntos,pais,enlace,id,altura,fecha_nacimiento,peso,lugar_nacimiento,derecha,reves
25,Sebastian Korda,22,1355,USA,/es/players/sebastian-korda/k0ah/overview,k0ah,196cm,2000.07.05,82Kg,Bradenton EE.UU.,Diestro,Dos Manos
23,Roberto Bautista Agut,35,1480,ESP,/es/players/roberto-bautista-agut/bd06/overview,bd06,183cm,1988.04.14,75Kg,Castellón de la Plana España,Diestro,Dos Manos
22,Jan-Lennard Struff,33,1625,GER,/es/players/jan-lennard-struff/sl28/overview,sl28,193cm,1990.04.25,92Kg,"Warstein, Alemania",Diestro,Dos Manos
20,Pablo Carreño Busta,31,1640,ESP,/es/players/pablo-carreño-busta/cd85/overview,cd85,188cm,1991.07.12,78Kg,Gijón España,Diestro,Dos Manos
19,Francisco Cerundolo,24,1860,ARG,/es/players/francisco-cerundolo/c0au/overview,c0au,185cm,1998.08.13,80Kg,Buenos Aires Argentina,Diestro,Dos Manos
18,Hubert Hurkacz,26,2060,POL,/es/players/hubert-hurkacz/hb71/overview,hb71,196cm,1997.02.11,81Kg,Breslavia Polonia,Diestro,Dos Manos
17,Alex de Miñaur,24,2115,AUS,/es/players/alex-de-miñaur/dh58/overview,dh58,183cm,1999.02.17,69Kg,"Sídney, Australia",Diestro,Dos Manos
16,Lorenzo Musetti,21,2210,ITA,/es/players/lorenzo-musetti/m0ej/overview,m0ej,185cm,2002.03.03,78Kg,Carrara Italia,Diestro,Una Mano
15,Tommy Paul,26,2250,USA,/es/players/tommy-paul/pl56/overview,pl56,185cm,1997.05.17,82Kg,Voorhees EE.UU.,Diestro,Dos Manos
14,Borna Coric,26,2305,CRO,/es/players/borna-coric/cg80/overview,cg80,188cm,1996.11.14,85Kg,"Zagreb, Croacia",Diestro,Dos Manos
13,Cameron Norrie,27,2610,GBR,/es/players/cameron-norrie/n771/overview,n771,188cm,1995.08.23,82Kg,Johannesburgo Sudáfrica,Zurdo,Dos Manos
11,Karen Khachanov,27,3035,RUS,/es/players/karen-khachanov/ke29/overview,ke29,198cm,1996.05.21,87Kg,Moscú Rusia,Diestro,Dos Manos
95,Thiago Monteiro,29,626,BRA,/es/players/thiago-monteiro/mj08/overview,mj08,183cm,1994.05.31,78Kg,"Fortaleza, Brasil",Zurdo,Dos Manos
2035,Paul Valsecchi,25,1,FRA,/es/players/paul-valsecchi/v0a6/overview,v0a6,188cm,1997.08.20,83Kg,,Zurdo,Dos Manos
2015T,Nicolas Rafael Goldberg Alviani,20,1,ESP,/es/players/nicolas-rafael-goldberg-alviani/g0j6/overview,g0j6,180cm,2002.10.10,76Kg,,Diestro,Dos Manos
2015T,Lohithaksha Bathrinath,22,1,IND,/es/players/lohithaksha-bathrinath/b0mq/overview,b0mq,185cm,2000.07.25,75Kg,,Diestro,Dos Manos
1983T,Daniil Savelev,22,1,RUS,/es/players/daniil-savelev/s0m1/overview,s0m1,188cm,2000.12.28,86Kg,,Diestro,Desconocido
1983T,Hugo Pontico,25,1,FRA,/es/players/hugo-pontico/pm29/overview,pm29,180cm,1997.10.19,70Kg,,Diestro,Desconocido
1983T,Miguel Fernando Pereira,24,1,CHI,/es/players/miguel-fernando-pereira/pm19/overview,pm19,185cm,1999.03.22,82Kg,,Diestro,Dos Manos
1983T,Benjamin Hannestad,26,1,DEN,/es/players/benjamin-hannestad/hh01/overview,hh01,185cm,1997.02.14,75Kg,,Diestro,Dos Manos
1983T,Benjamin Denis Alarcon,23,1,ARG,/es/players/benjamin-denis-alarcon/a0g1/overview,a0g1,168cm,1999.12.10,64Kg,,Diestro,Una Mano
1952T,Ryan James Storrie,25,1,GBR,/es/players/ryan-james-storrie/sy31/overview,sy31,175cm,1998.02.28,75Kg,"Dorchester, England",Diestro,Dos Manos
1952T,Essa Qabazard,21,1,KUW,/es/players/essa-qabazard/q027/overview,q027,188cm,2001.10.24,78Kg,,Diestro,Dos Manos
